City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,chapais,75,CA,1535407200,73,49.78,-74.86,71.6,12.75
88,port alfred,36,ZA,1535410177,75,-33.59,26.89,62.04,21.7
89,davila,75,PH,1535407200,94,18.47,120.58,77.0,2.24
90,bethel,90,US,1535406780,77,60.79,-161.76,53.06,9.17
91,carnarvon,0,ZA,1535410178,75,-30.97,22.13,24.87,3.36
92,ilulissat,32,GL,1535406600,74,69.22,-51.1,35.6,3.36
93,jeremie,64,HT,1535410179,100,18.65,-74.12,79.05,2.35
94,saint-philippe,75,CA,1535408100,65,45.36,-73.48,78.8,11.41
95,camacha,40,PT,1535407200,78,33.08,-16.33,71.6,6.93
96,butembo,92,CD,1535410179,99,0.12,29.29,60.87,2.57
97,hithadhoo,68,MV,1535410179,100,-0.6,73.08,82.92,6.15
98,harper,40,US,1535408100,30,30.3,-99.24,96.98,13.87
99,bilma,0,NE,1535410180,37,18.69,12.92,79.23,2.24
100,manicore,8,BR,1535410180,85,-5.81,-61.3,79.14,2.01
101,gat,90,SN,1535407200,88,14.69,-16.54,80.6,4.14
102,halifax,75,CA,1535407200,73,44.65,-63.58,77.0,6.93
103,ostrovnoy,56,RU,1535410180,93,68.05,39.51,49.35,13.2
104,albany,75,US,1535406900,57,42.65,-73.75,86.0,3.36
105,sistranda,75,NO,1535406600,93,63.73,8.83,51.8,2.24
106,salalah,90,OM,1535406600,100,17.01,54.1,75.2,4.7
107,norman wells,90,CA,1535408760,87,65.28,-126.83,53.6,8.05
108,vila,0,IT,1535406600,72,45.18,8.4,64.4,3.36
109,fortuna,75,ES,1535409000,78,38.18,-1.13,78.8,6.93
110,port-cartier,75,CA,1535407200,72,50.03,-66.88,68.0,6.93
111,cap malheureux,40,MU,1535407200,64,-19.98,57.61,71.6,14.99
112,chuy,0,UY,1535410182,82,-33.69,-53.46,51.87,11.3
113,chokurdakh,0,RU,1535409930,86,70.62,147.9,50.52,5.59
114,luderitz,0,NA,1535410182,62,-26.65,15.16,53.04,15.32
115,east london,0,ZA,1535409893,100,-33.02,27.91,63.39,28.86
116,conde,88,BR,1535410183,94,-11.81,-37.61,73.74,8.61
117,coquimbo,20,CL,1535407200,76,-29.95,-71.34,55.4,5.82
118,pochutla,75,MX,1535406060,74,15.74,-96.47,80.6,4.25
119,saint george,75,GR,1535406600,83,39.45,22.34,69.8,4.7
120,kandrian,68,PG,1535409938,82,-6.21,149.55,82.2,4.03
121,doha,0,QA,1535407200,84,25.29,51.53,91.4,10.29
122,mandalgovi,12,MN,1535410183,81,45.76,106.27,57.9,6.49
123,sibolga,56,ID,1535410184,95,1.74,98.78,69.06,1.34
124,tuatapere,80,NZ,1535410184,100,-46.13,167.69,44.22,15.43
125,airai,8,TL,1535410184,76,-8.93,125.41,72.57,2.24
126,kavieng,64,PG,1535410184,100,-2.57,150.8,84.72,5.59
127,bambous virieux,40,MU,1535407200,64,-20.34,57.76,71.6,14.99
128,provideniya,40,RU,1535407200,71,64.42,-173.23,50.0,13.42
129,sembakung,36,ID,1535410185,97,3.82,117.25,77.43,2.91
130,lagoa,75,PT,1535407200,88,37.14,-8.45,75.2,4.7
131,sikonge,92,TZ,1535410185,24,-5.63,32.75,74.19,8.16
132,anton,92,PA,1535410186,100,8.4,-80.27,73.65,2.57
133,dossor,0,KZ,1535410186,62,47.52,52.98,59.97,2.8
134,okhotsk,0,RU,1535410186,88,59.36,143.24,62.13,3.91
135,meulaboh,24,ID,1535410186,100,4.14,96.13,77.61,6.15
136,manhush,0,UA,1535410186,83,47.06,37.31,74.64,19.01
137,anchorage,90,US,1535406960,73,61.22,-149.89,60.98,8.05
138,muisne,80,EC,1535410187,74,0.61,-80.02,77.07,7.61
139,bereda,0,ES,1535409000,82,43.27,-7.54,68.0,3.36
140,narsaq,0,GL,1535406600,57,60.91,-46.05,48.2,8.05
141,lompoc,1,US,1535409300,41,34.64,-120.46,78.8,14.99
142,kailua,75,US,1535407020,77,21.39,-157.74,82.94,11.41
143,pisco,40,PE,1535407200,30,-13.71,-76.2,71.6,8.05
144,cortez,20,US,1535406780,21,37.35,-108.58,86.0,19.46
145,banjar,68,ID,1535410188,95,-7.37,108.54,70.59,3.13
146,mikuni,75,JP,1535407200,83,36.22,136.15,77.0,3.36
147,koslan,36,RU,1535410188,79,63.46,48.9,60.87,4.36
148,istok,32,PL,1535410189,90,52.85,23.44,50.52,2.57
149,puerto escondido,75,MX,1535406060,74,15.86,-97.07,80.6,5.7
150,oyama,90,JP,1535407200,94,36.31,139.8,73.4,8.05
151,college,90,US,1535408280,76,64.86,-147.8,55.94,11.41
152,ati,12,TD,1535410189,66,13.21,18.34,79.14,3.69
153,mar del plata,0,AR,1535410190,49,-46.43,-67.52,52.86,24.72
154,codrington,0,AU,1535410190,85,-28.95,153.24,59.97,3.36
155,bima,32,ID,1535410190,100,-8.45,118.73,74.01,2.68
156,talnakh,0,RU,1535410190,86,69.49,88.39,47.1,2.57
157,kathu,0,ZA,1535410190,50,-27.7,23.05,32.97,7.72
158,khatanga,0,RU,1535410190,79,71.98,102.47,52.14,4.59
159,gafargaon,75,BD,1535409000,83,24.46,90.55,82.4,9.17
160,kanash,0,RU,1535407200,76,55.51,47.5,57.2,6.71
161,batarci,92,RO,1535407200,93,48.03,23.17,64.4,1.12
162,sorland,24,NO,1535410191,100,67.67,12.69,51.15,10.18
163,pacific grove,1,US,1535409300,60,36.62,-121.92,69.8,14.99
164,puri,20,ID,1535407200,83,-7.54,112.45,77.0,2.24
165,jining,92,CN,1535410091,97,35.41,116.58,76.8,5.03
166,boddam,90,GB,1535408400,87,57.47,-1.78,53.6,2.24
167,barrow,20,AR,1535410192,35,-38.31,-60.23,66.18,20.02
168,champerico,75,MX,1535406540,52,16.38,-93.6,87.8,9.17
